Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
0df94e1055a296dce5ea89a5b2c86234;24/04/2019;28/02/2023;Operacao Especial;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RO;SR/PF/RO                                                        ;Nao;Bolívia                                                                                                                         ;1;0;0;4;R$239.299,00;;R$3.899.000,00;;0;0;0;0;0;0;0;0;0;0
1ccc536d10e6aeec3fa7f5210ddc5c68;03/01/2022;28/02/2023;Operacao Especial;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;TO;SR/PF/TO                                                        ;Nao;                                                                                                                                ;0;0;0;6;R$700.000,00;;R$136.246.574,00;R$136.246.574,00;0;0;0;0;0;0;0;0;0;0
f13b82a5fe2b555f989ea96220117179;03/02/2022;28/02/2023;Operacao Especial;Crimes Previdenciários                                                                                                          ;PE;DPF/CRU/PE                                                      ;Nao;                                                                                                                                ;0;7;0;10;;;;R$107.150.220,00;0;0;0;0;0;0;0;0;0;17
c2da40ed0c4c4fb524748bc570299550;11/06/2022;28/02/2023;Operacao Comum   ;Crimes Fazendários                                                                                                              ;RS;DPF/SCS/RS                                                      ;Nao;                                                                                                                                ;0;0;0;3;;;;;0;0;0;0;0;0;0;0;0;0
cd1ef4a1c9b5526cf72d01e60f918867;25/07/2022;28/02/2023;Operacao Especial;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RR;SR/PF/RR                                                        ;Sim;Venezuela                                                                                                                       ;0;0;0;3;R$3.000,00;;;;0;0;0;0;0;0;0;0;0;0
12ff86d9d9098feec394ade125eb3c7d;03/10/2022;28/02/2023;Operacao Especial;Crimes Fazendários                                                                                                              ;PR;DPF/GRA/PR                                                      ;Nao;Paraguai                                                                                                                        ;1;0;0;11;R$757.401,00;;R$20.000.000,00;R$979.181,00;3;0;0;1;0;3;14;0;0;0
b390e1371552a4a0af72c7d40447628f;05/10/2022;28/02/2023;Operacao Comum   ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;MT;DPF/CAE/MT                                                      ;Sim;                                                                                                                                ;0;2;0;0;;;;;0;0;0;0;0;0;0;0;0;0
6bf4db0db5053e2b09ab99d662106ea2;01/11/2022;28/02/2023;Operacao Comum   ;Crimes Fazendários                                                                                                              ;SC;DPF/LGE/SC                                                      ;Nao;                                                                                                                                ;0;0;0;3;;;;;0;0;0;0;0;0;0;0;0;0
69b988319c4c062b7d9af611f8e423f2;17/11/2022;28/02/2023;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;PR;SR/PF/PR                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
90f3a1c5b371814a46d5ee75bdd7aa0e;14/02/2023;28/02/2023;Operacao Comum   ;Crimes de Corrupção                                                                                                             ;PA;NIP/SR/PF/PA                                                    ;Nao;                                                                                                                                ;0;0;0;6;;;;;0;0;0;0;0;5;0;0;3;0
80950a2dd1a5ff049bb918b1b6dd1b03;14/02/2023;28/02/2023;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;SP;DPF/CAS/SP                                                      ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
3ff0cc0dbc0e7eda77e391911a676f37;23/02/2023;28/02/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;RS;SR/PF/RS                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$2.147,00;;;;0;0;0;0;0;0;0;0;0;0
6aa89def186ca8f6201b9bfb3d170df2;28/02/2023;28/02/2023;Operacao Especial;Tráfico de Armas                                                                                                                ;RS;DPF/LIV/RS                                                      ;Nao;Uruguai                                                                                                                         ;0;0;0;11;;;;;0;0;0;0;0;0;0;0;0;0
