Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
70e2d251b880ad39287b3355784f8c91;17/08/2023;18/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;RO;DPF/JPN/RO                                                      ;Nao;                                                                                                                                ;2;0;0;4;R$15.540.000,00;;;;0;0;0;0;0;0;0;0;0;0
d486a4a1b05c0a38e74d1432a0e4a167;18/08/2023;18/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;PA;SR/PF/PA                                                        ;Nao;                                                                                                                                ;2;0;0;0;R$1.220,00;;;;0;0;0;0;0;0;0;0;0;0
3947480f6c6e1f33e5400ba4aa26b6ec;18/08/2023;18/08/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
65dcb9fbed76650c1b91ace270efad24;18/08/2023;18/08/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
4a21c1629ad0b74ed1e4f5ed2e5cadea;18/08/2023;18/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MT;DPF/BRG/MT                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$97.500,00;;;;0;0;0;0;0;0;0;0;0;0
209938e990dd8b13c4691e30ef6af31f;25/08/2023;18/08/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;1;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
0e765b51996b81c6ccf9a63e943a2dc7;10/02/2023;17/08/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;RS;DPF/SMA/RS                                                      ;Nao;                                                                                                                                ;1;0;0;2;;;;;0;0;0;1;0;0;0;0;0;0
42490b2fbea5a9bd97b1896aee3ee958;22/05/2023;17/08/2023;Operacao Especial;Crimes Contra o Patrimônio                                                                                                      ;SP;DPF/SJK/SP                                                      ;Nao;                                                                                                                                ;3;1;0;8;R$92.500,00;;;R$40.000,00;0;0;0;0;0;0;0;0;0;0
eff7b4b3d1cbcdc29ff8b8412d86af56;17/08/2023;17/08/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
4d09e67a199599e89797752433cf5605;17/08/2023;17/08/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
