Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
858b185d75b4aa7d0598f7bd762c6d43;10/05/2021;31/03/2023;Operacao Especial;Crimes Contra Direitos Humanos                                                                                                  ;AM;DPF/TBA/AM                                                      ;Nao;Colômbia                                                                                                                        ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
f45c53461a611deeb46d83f3e80eb627;13/01/2023;31/03/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;GO;DPF/JTI/GO                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$23.296,00;;;;0;0;0;0;0;0;0;0;0;0
52a75faa17c6443231cc7e8c87ce6cf4;17/03/2023;31/03/2023;Operacao Comum   ;Tráfico de Armas                                                                                                                ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;1;R$403.910,00;;;;0;0;0;0;0;0;0;0;0;0
b378265f23a54aa22320e2ac3b37ed59;31/03/2023;31/03/2023;Operacao de Apoio;Crimes Contra o Patrimônio                                                                                                      ;SP;DPF/BRU/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
7159270de715afc57b3c2be1fff3947e;31/03/2023;31/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
bf4eebd67ee25c316692f4b8fab77f4a;31/03/2023;31/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
70c3fb494f99ed2a1335d581f5c6aee0;31/03/2023;31/03/2023;Operacao Especial;Crimes de Corrupção                                                                                                             ;PB;SR/PF/PB                                                        ;Nao;                                                                                                                                ;0;0;0;22;R$469.455,00;;;;0;0;0;0;0;0;0;0;0;0
f4f2ef945b009c31cc080465d61b9bce;31/03/2023;31/03/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;SP;DPF/PDE/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$153.518,00;;;;0;0;0;0;0;0;0;0;0;0
6677494df9a2f718dbaeb96610a2c910;31/03/2023;31/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/PGZ/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
7082a3837cce126371bf16ef76977646;31/03/2023;31/03/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/PPA/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;R$1.639,00;;;;0;0;0;0;0;0;0;0;0;0
33198a60c40b01e20bcb5020473d279a;31/03/2023;31/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;DPF/PPA/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;R$78.878,00;;;R$14.875,00;0;0;0;0;0;0;0;0;0;0
50d2be98900f1d8a2fb3c3207c6d31b9;31/03/2023;31/03/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;PR;DPF/GPB/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
fdd19223d792dd804e1b5b435a048a29;31/03/2023;31/03/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;Bolívia                                                                                                                         ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
3bb2b4067ab85fc44d550bd43bb7311a;31/03/2023;31/03/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;SP;DPF/GRU/SP - AIN                                                ;Nao;                                                                                                                                ;1;0;0;0;R$3.865,00;;;;0;0;0;0;0;0;0;0;0;0
088889b294502bf7b9c03d3ae831d1a5;31/03/2023;31/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;BA;DPF/BRA/BA                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$1.000,00;;;;0;0;0;0;0;0;0;0;0;0
1e82635542756448df026aed77612103;31/03/2023;31/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;SC;DPF/DCQ/SC                                                      ;Nao;Argentina                                                                                                                       ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
71bc4da6aaa8943dbec7ae983f131d62;31/03/2023;31/03/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;SP;DPF/ARU/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$6.906.587,00;;;;0;0;0;0;0;0;0;0;0;0
d11b271b3c83bd5f7a66d1138256a7dd;31/03/2023;31/03/2023;Operacao Comum   ;Crimes Previdenciários                                                                                                          ;RN;SR/PF/RN                                                        ;Nao;                                                                                                                                ;0;0;0;2;;;;R$262.000,00;0;0;0;0;0;0;0;0;0;0
d4840e21254e6495db1f27ec57eed289;31/03/2023;31/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;RR;SR/PF/RR                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
5f245c7380cdd805ddb3cbed1ff9627f;31/03/2023;31/03/2023;Operacao de Apoio;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8cce46d1409cbe46bc096e5b82639e92;31/03/2023;31/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;SR/PF/PR                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
05a9c99d9bebd41aa92debcc3f528bce;31/03/2023;31/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$1.526.859,00;;;;0;0;0;0;0;0;0;0;0;0
44c5978a37f6b3e35b1c3bf1eb632295;31/03/2023;31/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$746.069,00;;;;0;0;0;0;0;0;0;0;0;0
0d2c260ea50b5190eb8f243c31c856b9;31/03/2023;31/03/2023;Operacao Simples ;Tráfico de Armas                                                                                                                ;AM;DPF/TBA/AM                                                      ;Nao;Colômbia                                                                                                                        ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b741a3e15ae217d692b1206047788d15;31/03/2023;31/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;DPF/AQA/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
eb3a9ec2bec129e4a0a1eb6e6c8c0a92;31/03/2023;31/03/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;AM;SR/PF/AM                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
263272ba5c1f507ffed9510d3321c956;31/03/2023;31/03/2023;Operacao Simples ;Tráfico de Armas                                                                                                                ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;1;0;0;1;R$183.714,00;;;;0;0;0;0;0;0;0;0;0;0
ce61f1b7f1bf6100206770725eaa1377;03/04/2023;31/03/2023;Operacao Simples ;Crimes Contra o Patrimônio                                                                                                      ;AC;DPF/CZS/AC                                                      ;Nao;Peru                                                                                                                            ;0;1;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b3c86e41a7c090b738ccaed2c0f2da24;10/03/2021;30/03/2023;Operacao Especial;Tráfico de Drogas                                                                                                               ;RS;GISE/PF/NOVOHAMBURGO/RS                                         ;Nao;Paraguai                                                                                                                        ;1;18;0;37;R$56.250.316,00;;R$798.036.427,00;;0;0;0;0;0;0;0;0;0;3
cf6b16618057e0a7d65fb5da1a869d82;01/01/2022;30/03/2023;Operacao Especial;Tráfico de Drogas                                                                                                               ;SP;DPF/AQA/SP                                                      ;Nao;                                                                                                                                ;2;0;0;3;R$1.509,00;;;;0;0;0;0;0;0;0;0;0;0
a03ba8fef9d75f1e0cd189193a0c8d42;03/12/2022;30/03/2023;Operacao Especial;Tráfico de Armas                                                                                                                ;MG;DPF/MOC/MG                                                      ;Nao;                                                                                                                                ;0;0;0;6;R$12.700,00;;;;0;0;0;0;0;0;0;0;0;0
4aba6924dbc9af5da9d092152a577763;11/03/2023;30/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;SP;DPF/MII/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$2.044.111,00;;;R$1.487.500,00;0;0;0;0;0;0;0;0;0;0
50efd6668afca27b589c2e589cabf876;29/03/2023;30/03/2023;Operacao Simples ;Crimes de Ódio e Pornografia Infantil                                                                                           ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$996,00;;;;0;0;0;0;0;0;0;0;0;0
2f077ceba91bcf078c0ac2cacb1b571f;30/03/2023;30/03/2023;Operacao Simples ;Tráfico de Armas                                                                                                                ;RS;DPF/RGE/RS                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$3.835,00;;;;0;0;0;0;0;0;0;0;0;0
3e357ae9126fcefb229173a6d339d826;30/03/2023;30/03/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
d4577345348886f57890177dcb9449d7;30/03/2023;30/03/2023;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
70d65c6a96564bec03b457b955584f82;30/03/2023;30/03/2023;Operacao de Apoio;Crimes Fazendários                                                                                                              ;PI;SR/PF/PI                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
dd342a4ac5e7d710b9da79bf1ae95b18;30/03/2023;30/03/2023;Operacao de Apoio;Crimes Fazendários                                                                                                              ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
dbc4880c2dfefcd7a0d6be29201e74c2;30/03/2023;30/03/2023;Operacao de Apoio;Crimes Fazendários                                                                                                              ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
100587a3121e429aa829f2f7694a243c;30/03/2023;30/03/2023;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MA;DPF/ITZ/MA                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
a062a85e8f551f1de5ae407225c68c2d;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;AM;SR/PF/AM                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
e422fda3dcb88b7ad928448bdd94c827;30/03/2023;30/03/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
d12bfafae6cf6568bf0b0cb522bac431;30/03/2023;30/03/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
0ea7fcb20d7d5ccbccce42fcf0a974e5;30/03/2023;30/03/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
347dd2e6c52485eebec291aa24c44883;30/03/2023;30/03/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
0157889f2e89c4564f1f6e293fa82984;30/03/2023;30/03/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
a81458a100984a00515a06d4a1317c11;30/03/2023;30/03/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b5f5616add9e42b42d1d13d14006b32e;30/03/2023;30/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$368,00;;;;0;0;0;0;0;0;0;0;0;0
963f2fc7c3aaaf616379585a8e68d7a9;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;AL;SR/PF/AL                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
a51b3994cd40ae08fdd0ea9c6aeb5ac0;30/03/2023;30/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;RJ;DPF/GOY/RJ                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$4.000,00;;;;0;0;0;0;0;0;0;0;0;0
10132a1847d88a1c2969d9df9e49a630;30/03/2023;30/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;PA;DPF/SNM/PA                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$45,00;;;;0;0;0;0;0;0;0;0;0;0
2a5ed9d84004659d23b85c410ae8208b;30/03/2023;30/03/2023;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RJ;DPF/GOY/RJ                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$4.000,00;;;;0;0;0;0;0;0;0;0;0;0
d0d6084f2a064efae37a45a73a261758;30/03/2023;30/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;DPF/DRS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
646d308963563c71afd2721bf306c53b;30/03/2023;30/03/2023;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RJ;DPF/GOY/RJ                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$6.000,00;;;;0;0;0;0;0;0;0;0;0;0
223eb300ac97a3250d5d29798b9783f4;30/03/2023;30/03/2023;Operacao Especial;Tráfico de Drogas                                                                                                               ;MS;DPF/PPA/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;1;0;0;;;;;0;0;0;0;0;0;0;0;0;0
02a251213e19d0ac5024470b1ce81cea;30/03/2023;30/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/MGA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$440.500,00;;;;0;0;0;0;0;0;0;0;0;0
b18ce54397cf5ebc245d013e8b6b1cbf;30/03/2023;30/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
f7f567d93ed4f419ffeab83707f5796e;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SC;SR/PF/SC                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
4c6715e97a8f000537017718520ea649;30/03/2023;30/03/2023;Operacao de Apoio;Crimes Fazendários                                                                                                              ;RS;DPF/SAG/RS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
3d147df3c281c1eee106e03c215aa535;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
93733d5b8881e172258bf6806941c0ae;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
d4b732a311a6d2a177c0c0fcf713f3af;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
227c951c3db16b1d30cce739d9c2dd28;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
83a96dabe23ac6b68e65edc23e176787;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;RO;SR/PF/RO                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
055c25fa28c4eb8c6bb0672e557eef80;30/03/2023;30/03/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;PB;SR/PF/PB                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;1;0;1;0;0;0;0;0;0;0
9a9a5236ed43446ec3749c2b8b75ea35;30/03/2023;30/03/2023;Operacao de Apoio;Crimes de Ódio e Pornografia Infantil                                                                                           ;RR;SR/PF/RR                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
732fb816c7602f349c2cc0837b7b9738;30/03/2023;30/03/2023;Operacao de Apoio;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RO;DPF/PBU/RO                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
f55101dd203ac8a5148b11cef480816e;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;PR;SR/PF/PR                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
525149bd1efc77df6e2c274472552ad8;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;PR;DPF/LDA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8484e0e527036e85dafee49a0c0313b8;30/03/2023;30/03/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;PR;DPF/MGA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8f095f1e07b7005c2d84602ff0115b0d;30/03/2023;30/03/2023;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RO;DPF/VLA/RO                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$1.400,00;;;;0;0;0;0;0;0;0;0;0;0
