Checksum Id Operacao,Data do Inicio,Data da Deflagracao,Tipo de Operacao,Area,Sigla Unidade Federativa,Sigla Unidade Institucional,Atuacao em Territorio Indigena,Atuacao em Territorio de Fronteira,Qtd Prisao em Flagrante,Qtd Prisao Preventiva,Qtd Prisao Temporaria,Qtd Mandado de Busca e Apreesao,Qtd Valores Apreendidos,Qtd Valores Apreendidos i11,Qtd Valores Descapitalizados,Qtd Prejuizos Causados a Uniao,Proib Ausentar Comarca,Proib Acesso ou Freq,Comparecimento Juizo,Qtd Fianca,Qtd Internacao Prov,Proib Contato,Mand Jud Caut Assec,Recol Domic Noturno,Susp Ex Func Pub A E,Monit Eletronica,Id Operacao
469b7aacc86cde9520fcb0d9a34718f1,18/05/2023,18/05/2023,Operacao Simples ,Tráfico de Drogas                                                                                                               ,RR,FTSP/DRCOR/SR/PF/RR                                             ,Nao,                                                                                                                                ,1,0,0,0,"R$242,00",,,,0,0,0,0,0,0,0,0,0,0,
3c5bb56c44e20af6f38a64e68a122913,18/05/2023,18/05/2023,Operacao de Apoio,Crimes de Corrupção                                                                                                             ,PI,DPF/PHB/PI                                                      ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
ef7f23b979ca3b57d69d0a2b1c39f9f5,18/05/2023,18/05/2023,Operacao Comum   ,Crimes Contra Direitos Humanos                                                                                                  ,RR,SR/PF/RR                                                        ,Nao,Guiana                                                                                                                          ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
2a5e6cb898659d0305439d4b4fe15867,18/05/2023,18/05/2023,Operacao de Apoio,Crimes de Ódio e Pornografia Infantil                                                                                           ,MT,DPF/SIC/MT                                                      ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
b47b032bf6fee31ce7505d910592aede,18/05/2023,18/05/2023,Operacao Simples ,Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ,MG,DPF/DVS/MG                                                      ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
81ccbcaad7360e869f135698783ac7f4,18/05/2023,18/05/2023,Operacao de Apoio,Tráfico de Drogas                                                                                                               ,ES,SR/PF/ES                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
fefc30d390aeeffe4261c837f19c0c55,18/05/2023,18/05/2023,Operacao Especial,Crimes de Ódio e Pornografia Infantil                                                                                           ,PR,DPF/PGZ/PR                                                      ,Nao,                                                                                                                                ,0,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,
28aa6ab297b5b5d76a19035acf5f89c0,19/05/2023,18/05/2023,Operacao Simples ,Tráfico de Drogas                                                                                                               ,BA,SR/PF/BA                                                        ,Nao,                                                                                                                                ,1,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
0739b65db946a333c82677b7a8a115fe,25/05/2023,18/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,MS,DPF/NVI/MS                                                      ,Nao,                                                                                                                                ,0,0,0,0,"R$58.745,00",,,,0,0,0,0,0,0,0,0,0,0,
f1271754e8d347df485845099f7845e5,30/05/2023,18/05/2023,Operacao Comum   ,Crimes de Ódio e Pornografia Infantil                                                                                           ,PB,DPF/CGE/PB                                                      ,Nao,                                                                                                                                ,1,0,0,2,"R$9.097,00",,,,0,0,0,0,0,0,0,0,0,0,
59dd441fb0c4bc5dea75f4ea8c0a995b,31/05/2023,18/05/2023,Operacao Simples ,Crimes de Ódio e Pornografia Infantil                                                                                           ,RO,DPF/JPN/RO                                                      ,Nao,Bolívia                                                                                                                         ,1,0,0,2,,,,,0,0,0,0,0,0,0,0,0,0,
35e1a641cde6723736003326abe3fe5e,22/09/2022,17/05/2023,Operacao Especial,Crimes Fazendários                                                                                                              ,RN,SR/PF/RN                                                        ,Nao,                                                                                                                                ,0,0,0,1,"R$3.000,00",,,,0,0,0,0,0,0,0,0,0,0,
1e715f76b7d9dd5b83572df6b73cecb8,27/02/2023,17/05/2023,Operacao Comum   ,Crimes Fazendários                                                                                                              ,PR,DPF/FIG/PR                                                      ,Nao,Paraguai                                                                                                                        ,0,0,0,1,"R$16.659,00",,,"R$17.872,00",0,0,0,0,0,0,0,0,0,0,
1f0613a6dbb4d6a072b71ee3b0a05cc4,08/03/2023,17/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,PR,DPF/FIG/PR                                                      ,Nao,Argentina                                                                                                                       ,0,0,0,0,"R$603.435,00",,,"R$543.913,00",0,0,0,0,0,0,0,0,0,0,
d631586ae43216c1f2a8ce811e10006c,09/03/2023,17/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,PR,DPF/FIG/PR                                                      ,Nao,Argentina                                                                                                                       ,0,0,0,0,"R$222.817,00",,,"R$194.253,00",0,0,0,0,0,0,0,0,0,0,
300b440a12267b470011a5ed51b189c9,14/03/2023,17/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,PR,DPF/FIG/PR                                                      ,Nao,Paraguai                                                                                                                        ,0,0,0,0,"R$276.597,00",,,"R$275.586,00",0,0,0,0,0,0,0,0,0,0,
a71b8bd903b7f28fcc5c8fb18554e56a,16/03/2023,17/05/2023,Operacao Especial,Crimes de Ódio e Pornografia Infantil                                                                                           ,AP,SR/PF/AP                                                        ,Nao,                                                                                                                                ,1,6,0,9,,,,,0,0,0,0,0,0,0,0,0,0,
b6fc35034dd06f7944bf034d24ec5229,28/03/2023,17/05/2023,Operacao Especial,Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ,RN,SR/PF/RN                                                        ,Nao,                                                                                                                                ,0,0,0,5,"R$8.546,00",,,,0,0,0,0,0,0,0,0,0,0,
29160766bfb719c6b7334e5f13d5ebe4,05/05/2023,17/05/2023,Operacao Comum   ,Crimes Financeiros                                                                                                              ,SP,DPF/CAS/SP                                                      ,Nao,                                                                                                                                ,0,0,0,3,"R$4.800.000,00",,,,0,0,0,0,0,0,0,0,0,0,
4e671b1313dbcfd698417a3c6a995f4b,11/05/2023,17/05/2023,Operacao Especial,Crimes Eleitorais                                                                                                               ,RS,DPF/BGE/RS                                                      ,Nao,Uruguai                                                                                                                         ,0,0,0,2,,,,,0,0,0,0,0,0,0,0,0,0,
a72753a5ec2242d72f8c63a60337cc34,14/05/2023,17/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,AL,SR/PF/AL                                                        ,Nao,                                                                                                                                ,1,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
2daf8b92adae23447ad597c798017f5e,15/05/2023,17/05/2023,Operacao Especial,Tráfico de Drogas                                                                                                               ,ES,SR/PF/ES                                                        ,Nao,                                                                                                                                ,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,
2be8fecd6653437496d247d66118c2cb,17/05/2023,17/05/2023,Operacao Simples ,Tráfico de Drogas                                                                                                               ,RR,FTSP/DRCOR/SR/PF/RR                                             ,Nao,                                                                                                                                ,2,0,0,0,"R$300,00",,,,0,0,0,0,0,0,0,0,0,0,
e8ed6b3bbf81f1d5997a3e088787bd8f,17/05/2023,17/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,RS,DPF/CXS/RS                                                      ,Nao,                                                                                                                                ,0,0,0,0,"R$33.475,00",,,"R$125.782,00",0,0,0,0,0,0,0,0,0,0,
8e5993a722be681e416e15d0a15d8336,17/05/2023,17/05/2023,Operacao de Apoio,Crimes de Ódio e Pornografia Infantil                                                                                           ,PB,SR/PF/PB                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
9f3a4d451ede146153242e67d041bc61,17/05/2023,17/05/2023,Operacao Comum   ,Tráfico de Drogas                                                                                                               ,SP,DPF/PDE/SP                                                      ,Nao,                                                                                                                                ,1,0,0,0,"R$20.167,00",,,,0,0,0,0,0,0,0,0,0,0,
129f8fce1ba7b944e9127c48947f8fee,17/05/2023,17/05/2023,Operacao Comum   ,Crimes de Ódio e Pornografia Infantil                                                                                           ,RS,SR/PF/RS                                                        ,Nao,                                                                                                                                ,0,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,
c47f358df58308b3712fd2a8501cf0ea,17/05/2023,17/05/2023,Operacao Comum   ,Crimes de Ódio e Pornografia Infantil                                                                                           ,RS,SR/PF/RS                                                        ,Nao,                                                                                                                                ,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,
2b27aec5a1caf4d613a8eb8154560f49,17/05/2023,17/05/2023,Operacao Simples ,Crimes de Ódio e Pornografia Infantil                                                                                           ,RS,SR/PF/RS                                                        ,Nao,                                                                                                                                ,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,
24284b7c8a76fdd4da70a893b0a19545,17/05/2023,17/05/2023,Operacao Comum   ,Crimes Fazendários                                                                                                              ,MS,DPF/TLS/MS                                                      ,Nao,                                                                                                                                ,1,0,0,0,"R$629,00",,,,0,0,0,0,0,0,0,0,0,0,
6ce7b369f6744a0072b7ce5fbdac98d2,17/05/2023,17/05/2023,Operacao Comum   ,Tráfico de Drogas                                                                                                               ,MT,DPF/BRG/MT                                                      ,Nao,Paraguai                                                                                                                        ,1,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
f4c4ad17e61b0c3f64d1878f54fa261b,17/05/2023,17/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,PR,SR/PF/PR                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,"R$39.475,00",0,0,0,0,0,0,0,0,0,0,
4b7379c57371f4c6537282bf54fa7542,17/05/2023,17/05/2023,Operacao de Apoio,Crimes Contra o Patrimônio                                                                                                      ,PR,DPF/LDA/PR                                                      ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
21078cb68bc50b1e8ed7f9f05bd7a709,17/05/2023,17/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,MS,DPF/TLS/MS                                                      ,Nao,                                                                                                                                ,0,0,0,0,"R$1.272.605,00",,,,0,0,0,0,0,0,0,0,0,0,
1bc716a1763110da3eb1af867de718a8,17/05/2023,17/05/2023,Operacao Simples ,Tráfico de Drogas                                                                                                               ,SE,SR/PF/SE                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
1123f1c2cc486f9fbf5139a97121edc9,17/05/2023,17/05/2023,Operacao Comum   ,Crimes Contra Direitos Humanos                                                                                                  ,RS,SR/PF/RS                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
9ecff0ea25b5fa41e26afe0fe6f3ddcb,17/05/2023,17/05/2023,Operacao Simples ,Crimes Financeiros                                                                                                              ,RO,SR/PF/RO                                                        ,Nao,Bolívia                                                                                                                         ,0,0,0,0,"R$637.260,00",,,,0,0,0,0,0,0,0,0,0,0,
237aae8caac9064947c4da97f172ee32,17/05/2023,17/05/2023,Operacao Especial,Tráfico de Drogas                                                                                                               ,AC,FTSP/DRCOR/SR/PF/AC                                             ,Nao,                                                                                                                                ,0,2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
04eb71b2a84b1a60d13abf7f2d60cb5a,17/05/2023,17/05/2023,Operacao Especial,Tráfico de Drogas                                                                                                               ,AC,FTSP/DRCOR/SR/PF/AC                                             ,Nao,                                                                                                                                ,0,5,0,1,,,,,0,0,0,0,0,0,0,0,0,0,
